,Device Type,Device Id,X,Y,Z,Yaw,Pitch,Roll
5637,hmd,1,1.0792678594589233,0.7873265743255615,-1.5945998430252075,177.49320846212495,-143.79132746749562,-172.12860852045432
5638,controller,1,1.91754150390625,1.4663922786712646,-2.772891044616699,-121.65824072160346,122.35819053531104,-141.91922546221238
5639,controller,2,0.9506621360778809,0.7894927263259888,-1.4840952157974243,29.502639151920697,-82.65705176693402,42.87248805984575
5640,hmd,1,1.0792465209960938,0.7873224020004272,-1.5946553945541382,177.4961707511782,-143.79191362339947,-172.1223379561938
5641,controller,1,1.9173182249069214,1.4665837287902832,-2.7728805541992188,-121.72227089492692,122.3833500462366,-141.92015079729694
5642,controller,2,0.9503700733184814,0.7896518707275391,-1.4842530488967896,29.441094371078638,-82.65768282338757,42.8225191718203
5643,hmd,1,1.0792136192321777,0.7872374057769775,-1.5947242975234985,177.49832982588066,-143.7910701573606,-172.12387774592597
5644,controller,1,1.917460560798645,1.4661751985549927,-2.7732858657836914,-121.7894327736474,122.40785192061158,-141.91277161440732
5645,controller,2,0.9500651359558105,0.7894692420959473,-1.4842106103897095,29.54053358011062,-82.66683449590658,42.90384505672264
5646,hmd,1,1.0792043209075928,0.7872649431228638,-1.5947047472000122,177.49755789409457,-143.79225217036168,-172.12282269715402
5647,controller,1,1.9174391031265259,1.4657596349716187,-2.773800849914551,-121.8030067257518,122.39003539447606,-141.91603243551685
5648,controller,2,0.9517166614532471,0.7887322902679443,-1.4840906858444214,29.6346552885237,-82.67663780412057,43.0054412060328
5649,hmd,1,1.0791794061660767,0.7872272729873657,-1.5947321653366089,177.49902523185284,-143.79162017411488,-172.12301689218359
5650,controller,1,1.9175763130187988,1.465778112411499,-2.773482322692871,-121.80295770793018,122.37522334745286,-141.93686074841108
5651,controller,2,0.9498364925384521,0.7893692255020142,-1.4841002225875854,29.601162925627044,-82.67496225389152,42.96771659190421
5652,hmd,1,1.079150676727295,0.7872778177261353,-1.5947614908218384,177.50065444499904,-143.7909088100844,-172.12082422980117
5653,controller,1,1.9171146154403687,1.4659183025360107,-2.7735233306884766,-121.82885584038232,122.39073529141501,-141.92488364500045
5654,controller,2,0.9513680934906006,0.7886694669723511,-1.4839683771133423,29.701362344899714,-82.6866866864183,43.07562842030618
5655,hmd,1,1.0791220664978027,0.7872509956359863,-1.5947881937026978,177.5021578006824,-143.79189732222943,-172.11878026296114
5656,controller,1,1.9171077013015747,1.4661470651626587,-2.7728395462036133,-121.87614048412478,122.45655223752438,-141.93384647959965
5657,controller,2,0.9497852325439453,0.7893891334533691,-1.4841448068618774,29.614006201284816,-82.68159649346977,42.98758398993553
5658,hmd,1,1.0791168212890625,0.7872722148895264,-1.5948156118392944,177.5031341731503,-143.79186073912203,-172.11711750110544
5659,controller,1,1.9168280363082886,1.466271162033081,-2.772705078125,-121.87909078206373,122.48602581069595,-141.92900969287692
5660,controller,2,0.9513163566589355,0.7887153625488281,-1.4840165376663208,29.705098986208608,-82.69120306052349,43.09033718269264
