,Device Type,Device Id,X,Y,Z,Yaw,Pitch,Roll
78,hmd,1,-0.8922586441040039,0.8599104881286621,0.7330707907676697,-178.47937384390033,-165.62489835225364,-168.02426381243612
79,hmd,1,-0.892254114151001,0.8599157333374023,0.7330729365348816,-178.47767200570348,-165.62422697590677,-168.02372247636228
80,hmd,1,-0.8922915458679199,0.8599591255187988,0.7330026626586914,-178.47812339300165,-165.62596537339792,-168.0220208838038
81,hmd,1,-0.8922696113586426,0.8599848747253418,0.7330319285392761,-178.4782582943749,-165.62412265082864,-168.0235735562441
82,hmd,1,-0.8922648429870605,0.8599904775619507,0.7330330014228821,-178.47796518090405,-165.6231681239428,-168.0236286033885
83,hmd,1,-0.8922615051269531,0.8599966764450073,0.7330325841903687,-178.4784821063335,-165.62471346492845,-168.02393532731418
84,hmd,1,-0.8922555446624756,0.8600027561187744,0.7330329418182373,-178.47819415450053,-165.62406217341567,-168.0239918126496
85,hmd,1,-0.8922498226165771,0.8600102663040161,0.7330338358879089,-178.47780298858393,-165.6240869719546,-168.02476580520874
86,hmd,1,-0.8923366069793701,0.8600472211837769,0.7330219149589539,-178.47692177813124,-165.62597929253678,-168.02577664283922
87,hmd,1,-0.8924016952514648,0.8600919246673584,0.7329462170600891,-178.47461219030055,-165.62364405841097,-168.0244821266313
88,hmd,1,-0.8923993110656738,0.8600988388061523,0.732947826385498,-178.4742904112579,-165.623956352805,-168.02417380879535
89,hmd,1,-0.8923971652984619,0.8601064682006836,0.7329496741294861,-178.47491412314935,-165.62431853665862,-168.02448374464893
90,hmd,1,-0.8923959732055664,0.8601136207580566,0.7329518795013428,-178.4752668975432,-165.62472376163186,-168.0246792723936
91,hmd,1,-0.8924195766448975,0.8601396083831787,0.7329281568527222,-178.47423490719675,-165.62433086295434,-168.02416795601553
92,hmd,1,-0.8924169540405273,0.8601468801498413,0.7329317331314087,-178.47445107963907,-165.62421325891063,-168.02419632933797
93,hmd,1,-0.8924949169158936,0.86012864112854,0.7328251600265503,-178.4707324034923,-165.62338991761118,-168.0207137586903
94,hmd,1,-0.8924949169158936,0.8601347208023071,0.7328253388404846,-178.47101393961614,-165.6241721360772,-168.02103603773534
95,hmd,1,-0.8924939632415771,0.8601409196853638,0.7328254580497742,-178.47092999074403,-165.62345457360607,-168.02097915172104
96,hmd,1,-0.892493724822998,0.8601467609405518,0.7328250408172607,-178.4709373350711,-165.62357637701317,-168.02115182243247
97,hmd,1,-0.8924944400787354,0.8601759672164917,0.732765793800354,-178.47094113031878,-165.62541664420002,-168.01928251727753
98,hmd,1,-0.892512321472168,0.8601634502410889,0.7327336668968201,-178.4700374148342,-165.62370798280384,-168.01755019954754
99,hmd,1,-0.8925089836120605,0.8601689338684082,0.7327308058738708,-178.4705281749116,-165.62270133186593,-168.01791019424644
100,hmd,1,-0.8925082683563232,0.8601748943328857,0.7327273488044739,-178.47001988065696,-165.6241090095294,-168.01833360880056
101,hmd,1,-0.892505407333374,0.8601803779602051,0.7327251434326172,-178.46952142095012,-165.62397471280002,-168.01864035464504
102,hmd,1,-0.8927185535430908,0.8602529764175415,0.7327051758766174,-178.4649031140544,-165.6263876562029,-168.02109741027536
103,hmd,1,-0.8927226066589355,0.8602588176727295,0.7327063679695129,-178.46545705980654,-165.62643164967426,-168.02152310863517
104,hmd,1,-0.8927938938140869,0.8602231740951538,0.7326111793518066,-178.461453303276,-165.62508713131615,-168.01627859889655
105,hmd,1,-0.8928008079528809,0.8602272272109985,0.7326082587242126,-178.4595215498546,-165.62635952496075,-168.01621614961968
106,hmd,1,-0.8928079605102539,0.8602328300476074,0.7326061725616455,-178.4597463006806,-165.62675726494325,-168.01744719416774
107,hmd,1,-0.8928124904632568,0.860236406326294,0.7326061725616455,-178.45948231622572,-165.62649870286918,-168.01706198448431
108,hmd,1,-0.8928911685943604,0.8602874279022217,0.7325409650802612,-178.45965473363495,-165.6283845859048,-168.01680953532443
109,hmd,1,-0.8928689956665039,0.8602575063705444,0.7325682044029236,-178.45919057747233,-165.62672983876172,-168.01603586586208
110,hmd,1,-0.8928759098052979,0.8602628707885742,0.7325674891471863,-178.45954889012984,-165.62683263486548,-168.01655164908948
111,hmd,1,-0.8928828239440918,0.8602676391601562,0.732567310333252,-178.45861654535875,-165.626822561942,-168.0162213383023
112,hmd,1,-0.8928911685943604,0.8602715730667114,0.7325671315193176,-178.45800330830843,-165.6269276951394,-168.01564795503558
113,hmd,1,-0.8928847312927246,0.8603039979934692,0.7324854731559753,-178.45970522044487,-165.62725854548523,-168.01381319391174
114,hmd,1,-0.8928887844085693,0.860306978225708,0.7324832081794739,-178.45891104741625,-165.62746144876692,-168.01360774855965
115,hmd,1,-0.8927435874938965,0.8602063655853271,0.7326514720916748,-178.4596228272676,-165.6277763933872,-168.01390601616853
116,hmd,1,-0.8927490711212158,0.8602101802825928,0.732649028301239,-178.46000676939659,-165.62799271991554,-168.01421812489326
117,hmd,1,-0.8927545547485352,0.860214114189148,0.7326454520225525,-178.45986931519224,-165.6280291432897,-168.01439489402833
118,hmd,1,-0.8927578926086426,0.8602169752120972,0.7326422333717346,-178.45940112660108,-165.62671496752776,-168.01388154100366
119,hmd,1,-0.8926858901977539,0.8602205514907837,0.7325830459594727,-178.46157468983057,-165.62642943525816,-168.01157593020667
120,hmd,1,-0.8926889896392822,0.8602244853973389,0.7325770854949951,-178.46194735276907,-165.62669711842517,-168.0111183215762
121,hmd,1,-0.8927383422851562,0.8601967096328735,0.7325040102005005,-178.45997012000763,-165.62581354799585,-168.00859887851243
122,hmd,1,-0.892742395401001,0.8602001667022705,0.732496976852417,-178.45902281925783,-165.62667844069784,-168.00891696934093
123,hmd,1,-0.8927450180053711,0.8602036237716675,0.732489287853241,-178.459590975953,-165.625139851113,-168.0094666400121
124,hmd,1,-0.8927500247955322,0.8602073192596436,0.7324804067611694,-178.45928550655114,-165.6261109322565,-168.0096400227539
125,hmd,1,-0.8928091526031494,0.8602532148361206,0.7324084043502808,-178.45895794640023,-165.6274804981015,-168.00971731206326
126,hmd,1,-0.8928117752075195,0.8602559566497803,0.7324000597000122,-178.45930926842885,-165.62743166477253,-168.01002658793135
127,hmd,1,-0.8928239345550537,0.8602583408355713,0.7323797941207886,-178.45815676902978,-165.62566332401906,-168.00925562700667
128,hmd,1,-0.8928263187408447,0.8602628707885742,0.7323710322380066,-178.45799170935624,-165.62497059814362,-168.01000877516515
129,hmd,1,-0.8928301334381104,0.8602675199508667,0.7323617339134216,-178.45672280096537,-165.62649499971997,-168.0109230202509
130,hmd,1,-0.8928308486938477,0.8602694272994995,0.7323530316352844,-178.4575216580144,-165.62613302111592,-168.01033262792927
131,hmd,1,-0.8929488658905029,0.8603262901306152,0.7322997450828552,-178.45546132451327,-165.6270930374505,-168.01233605171072
132,hmd,1,-0.8929519653320312,0.8603298664093018,0.7322943210601807,-178.4551061438616,-165.62703913663765,-168.01236476147454
133,hmd,1,-0.8930323123931885,0.8602956533432007,0.7321810722351074,-178.4503964494553,-165.62667800430947,-168.00821138852652
134,hmd,1,-0.8930377960205078,0.8602982759475708,0.7321737408638,-178.45065570146656,-165.62614358699273,-168.00786298559734
135,hmd,1,-0.8930437564849854,0.8603023290634155,0.7321650385856628,-178.4508504623736,-165.6264634763794,-168.0083956659584
136,hmd,1,-0.8930492401123047,0.8603051900863647,0.7321576476097107,-178.451788725454,-165.62650916622175,-168.00784681358653
137,hmd,1,-0.8931119441986084,0.8603492975234985,0.7320958971977234,-178.45090223719706,-165.6278778681604,-168.00744423301717
138,hmd,1,-0.8931362628936768,0.8603312969207764,0.732060432434082,-178.44847448659957,-165.627831910385,-168.0064109786505
139,hmd,1,-0.8931448459625244,0.8603367805480957,0.7320512533187866,-178.44949373321117,-165.62739788969856,-168.0060881327121
140,hmd,1,-0.8931548595428467,0.860343337059021,0.7320406436920166,-178.44883076110253,-165.62798773904416,-168.00649684022585
141,hmd,1,-0.893165111541748,0.8603494167327881,0.7320300936698914,-178.44905439019465,-165.6287309970459,-168.00705726972367
142,hmd,1,-0.8931722640991211,0.8603557348251343,0.7320201396942139,-178.4473016607977,-165.6268722622118,-168.00695777394074
143,hmd,1,-0.8932130336761475,0.8603821992874146,0.7319795489311218,-178.44703305134806,-165.62869010722858,-168.00707636541597
144,hmd,1,-0.8929858207702637,0.8602849245071411,0.7322535514831543,-178.44903069154495,-165.6284318943159,-168.0105960916402
145,hmd,1,-0.892993688583374,0.8602912425994873,0.732246458530426,-178.4491547309777,-165.62828442161992,-168.01111321820972
146,hmd,1,-0.8930013179779053,0.8602966070175171,0.7322391867637634,-178.44998304528164,-165.62804261165726,-168.01149215817915
147,hmd,1,-0.8930096626281738,0.8603024482727051,0.7322319746017456,-178.44928863965472,-165.62755198103076,-168.01156403080188
148,hmd,1,-0.8930213451385498,0.8603394031524658,0.7321531176567078,-178.4508191887875,-165.62771045691477,-168.01058646050373
149,hmd,1,-0.893028974533081,0.8603469133377075,0.732144832611084,-178.45068219737212,-165.62782394669557,-168.01111000292562
150,hmd,1,-0.892697811126709,0.8601726293563843,0.7325271964073181,-178.45329938878484,-165.62712668915813,-168.01298839335342
151,hmd,1,-0.8927011489868164,0.8601796627044678,0.7325224876403809,-178.45352177561654,-165.6269643247968,-168.01320034554632
152,hmd,1,-0.8927059173583984,0.8601871728897095,0.7325178384780884,-178.45304142706635,-165.62862056586326,-168.01375329818077
153,hmd,1,-0.8927097320556641,0.8601948022842407,0.7325142025947571,-178.45309146684428,-165.62796351737376,-168.0125888651844
154,hmd,1,-0.892827033996582,0.8602724075317383,0.7324255108833313,-178.452299856878,-165.62957500037024,-168.01324647784233
155,hmd,1,-0.892894983291626,0.8602930307388306,0.732344388961792,-178.44924408603418,-165.62884953338315,-168.0109335831519
156,hmd,1,-0.8929002285003662,0.8603023290634155,0.7323381304740906,-178.44844423883617,-165.62831828071452,-168.0108091160655
157,hmd,1,-0.892906665802002,0.8603113889694214,0.7323305606842041,-178.44795040376164,-165.62881203538703,-168.01056094896592
158,hmd,1,-0.8929109573364258,0.8603197336196899,0.7323245406150818,-178.44775028130542,-165.62853196135785,-168.01078328958616
159,hmd,1,-0.8929176330566406,0.8603301048278809,0.7323172092437744,-178.44765855737413,-165.6294732016168,-168.01083024051644
160,hmd,1,-0.893141508102417,0.860399603843689,0.7323186993598938,-178.44184956176542,-165.63258780688005,-168.01444358050102
161,hmd,1,-0.8931457996368408,0.8603488206863403,0.7323089241981506,-178.4396832243584,-165.63256264008692,-168.01108211478956
162,hmd,1,-0.8931577205657959,0.8603590726852417,0.7323028445243835,-178.43885872700434,-165.6326387571654,-168.01145090461637
163,hmd,1,-0.8931682109832764,0.8603677749633789,0.7322981953620911,-178.43876937112478,-165.631617096154,-168.01072210416623
164,hmd,1,-0.8931798934936523,0.860377311706543,0.7322938442230225,-178.43850972613777,-165.63161953739595,-168.01029761912088
165,hmd,1,-0.8931064605712891,0.8603652715682983,0.732277512550354,-178.44118464102476,-165.63200190757678,-168.00841277449496
166,hmd,1,-0.8931162357330322,0.860375165939331,0.732271671295166,-178.44045917673782,-165.63138783704184,-168.007673302637
167,hmd,1,-0.893132209777832,0.8603496551513672,0.7322502732276917,-178.43749068017925,-165.63155891582284,-168.0049800971283
168,hmd,1,-0.8931407928466797,0.8603571653366089,0.7322439551353455,-178.4375697850204,-165.63108911061593,-168.00501514437212
169,hmd,1,-0.8931503295898438,0.860365629196167,0.7322349548339844,-178.43673047363038,-165.63100778448717,-168.00507130907047
170,hmd,1,-0.893160343170166,0.8603743314743042,0.7322250008583069,-178.436727079667,-165.63055537400177,-168.00558278312357
171,hmd,1,-0.893181562423706,0.860437273979187,0.7320863008499146,-178.43827706835077,-165.63126820760903,-168.00367797990472
172,hmd,1,-0.8931884765625,0.8604439496994019,0.7320757508277893,-178.43891474165576,-165.63074377681693,-168.00389759514863
